Approach,Final Accuracy (%),Final Loss,Total Time (s),MIA Success Rate (AUC),MIA Success Rate (Acc),Communication Overhead (MB),Data Distribution
Baseline,65.06,0.9706145642669337,572.7360863685608,51.525957625,83.33333333333334,1750.8941650390625,Non-IID
HE,54.35,1.251351376627661,126.18838810920715,50.370431625,83.33333333333334,104.42657470703125,Non-IID
DP,33.13,1.9814408797367362,3835.484683036804,49.819502,83.33333333333334,1750.8941650390625,Non-IID
HE+DP,17.35,4.834753517891951,253.00065970420837,49.86077275,83.33333333333334,104.42657470703125,Non-IID
Sequential HE+DP,11.66,3.832829072976568,272.0160827636719,50.10689499999999,83.33333333333334,104.42657470703125,Non-IID
